,subjID,edgeRT,model,trial,group,block,logRT_ms
162,s33,4831.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.482808764554406
163,s33,3218.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.076515327552329
164,s33,11052.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.310366686043308
165,s34,4327.0,Bayes Optimal Teacher,19.0,Congruent,test,8.372629740224884
166,s34,3758.0,Bayes Optimal Teacher,20.0,Congruent,test,8.231642179973411
167,s34,3457.0,Bayes Optimal Teacher,21.0,Congruent,test,8.148156439921625
168,s34,2097.0,Bayes Optimal Teacher,22.0,Congruent,test,7.64826303090192
169,s34,6295.0,Bayes Optimal Teacher,23.0,Congruent,test,8.747510946478448
170,s35,8065.0,Reward Heuristic,20.0,Congruent,test,8.99528899055931
171,s35,6592.0,Reward Heuristic,21.0,Congruent,test,8.793612071589308
172,s35,18318.0,Reward Heuristic,22.0,Congruent,test,9.815639461962933
173,s35,3511.0,Reward Heuristic,23.0,Congruent,test,8.163656176168432
174,s35,7342.0,Reward Heuristic,24.0,Congruent,test,8.90136656405678
175,s36,10274.0,Reward Heuristic,20.0,Congruent,test,9.237371711027214
176,s36,10056.0,Reward Heuristic,21.0,Congruent,test,9.215924750270084
177,s36,3628.0,Reward Heuristic,22.0,Congruent,test,8.196436811235028
178,s36,13458.0,Reward Heuristic,23.0,Congruent,test,9.507329003748263
179,s36,15498.0,Reward Heuristic,24.0,Congruent,test,9.648466262323895
180,s37,1999.0,Bayes Optimal Teacher,20.0,Incongruent,test,7.6004023345004
181,s37,3582.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.183676582620658
182,s37,2297.0,Bayes Optimal Teacher,22.0,Incongruent,test,7.739359202689098
183,s37,3070.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.029432840581244
184,s37,3249.0,Bayes Optimal Teacher,24.0,Incongruent,test,8.0861025356691
185,s38,6442.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.770594329891145
186,s38,3263.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.09040229659332
187,s38,2726.0,Bayes Optimal Teacher,22.0,Incongruent,test,7.9105906122564775
188,s38,9983.0,Bayes Optimal Teacher,23.0,Incongruent,test,9.208638925336425
189,s38,11746.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.371268036082466
190,s39,2128.0,Bayes Optimal Teacher,20.0,Incongruent,test,7.662937850461535
191,s39,3950.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.281470857895167
192,s39,1637.0,Bayes Optimal Teacher,22.0,Incongruent,test,7.400620577371135
193,s39,3297.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.10076824307173
194,s39,10520.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.261033486291701
195,s40,16104.0,Reward Heuristic,20.0,Incongruent,test,9.686822967319628
196,s40,6019.0,Reward Heuristic,21.0,Incongruent,test,8.70267641154777
197,s40,12155.0,Reward Heuristic,22.0,Incongruent,test,9.405495886750224
198,s40,12451.0,Reward Heuristic,23.0,Incongruent,test,9.429556219952412
199,s41,4084.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.314832179284556
200,s41,2244.0,Bayes Optimal Teacher,21.0,Incongruent,test,7.716015266642587
201,s41,2310.0,Bayes Optimal Teacher,22.0,Incongruent,test,7.745002803515839
202,s41,4967.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.51057131510735
203,s41,7778.0,Bayes Optimal Teacher,24.0,Incongruent,test,8.959054514715692
204,s42,5563.0,Reward Heuristic,20.0,Congruent,test,8.623892810075294
205,s42,7147.0,Reward Heuristic,21.0,Congruent,test,8.874447967219979
206,s42,1958.0,Reward Heuristic,22.0,Congruent,test,7.579678823090456
207,s42,1810.0,Reward Heuristic,23.0,Congruent,test,7.501082124259871
208,s42,2008.0,Reward Heuristic,24.0,Congruent,test,7.60489448081162
209,s43,10369.0,Bayes Optimal Teacher,20.0,Incongruent,test,9.246575864558277
210,s43,11786.0,Bayes Optimal Teacher,21.0,Incongruent,test,9.374667665397858
